Epoch 0 lr=0.1: loss=356.176882982254, train_accuracy=0.4975024366471735,val_loss=19.5506649017334, val_accuracy=0.4946957007258515
Epoch 62 lr=0.05437943429267468: loss=223.90762308239937, train_accuracy=0.7900828460038987,val_loss=12.633785247802734, val_accuracy=0.8221663874930206
Epoch 63 lr=0.05437943429267468: loss=224.1920412927866, train_accuracy=0.7927631578947368,val_loss=10.419748306274414, val_accuracy=0.8252372975991067
Epoch 64 lr=0.05274805126389444: loss=225.51538735628128, train_accuracy=0.7930068226120858,val_loss=11.905363082885742, val_accuracy=0.7844779452819653
Epoch 65 lr=0.05274805126389444: loss=220.97414253652096, train_accuracy=0.7945297270955166,val_loss=12.20715045928955, val_accuracy=0.785036292573981
Epoch 66 lr=0.05274805126389444: loss=222.10082636773586, train_accuracy=0.7905092592592593,val_loss=10.5049467086792, val_accuracy=0.821608040201005
Epoch 67 lr=0.051165609725977605: loss=220.7285039871931, train_accuracy=0.7965399610136452,val_loss=11.204289436340332, val_accuracy=0.8149078726968174
Epoch 68 lr=0.051165609725977605: loss=219.67858549952507, train_accuracy=0.7986720272904484,val_loss=10.883451461791992, val_accuracy=0.8163037409268565
Epoch 69 lr=0.051165609725977605: loss=221.11709214746952, train_accuracy=0.7959307992202729,val_loss=10.830490112304688, val_accuracy=0.81714126186488
Epoch 70 lr=0.04963064143419828: loss=216.34820814430714, train_accuracy=0.8016569200779727,val_loss=11.434812545776367, val_accuracy=0.8082077051926299
Epoch 71 lr=0.04963064143419828: loss=219.01786203682423, train_accuracy=0.7992202729044834,val_loss=10.987771987915039, val_accuracy=0.8190954773869347
Epoch 72 lr=0.04963064143419828: loss=215.08974833786488, train_accuracy=0.8011695906432749,val_loss=11.536961555480957, val_accuracy=0.80178671133445
Epoch 73 lr=0.048141722191172326: loss=213.22448931634426, train_accuracy=0.8046418128654971,val_loss=10.256026268005371, val_accuracy=0.8316582914572864
Epoch 74 lr=0.048141722191172326: loss=215.33600729703903, train_accuracy=0.8004385964912281,val_loss=10.268123626708984, val_accuracy=0.8391959798994975
Epoch 75 lr=0.048141722191172326: loss=214.55832456052303, train_accuracy=0.80171783625731,val_loss=13.857136726379395, val_accuracy=0.7721943048576214
Epoch 76 lr=0.04669747052543716: loss=213.11242547631264, train_accuracy=0.8071393762183235,val_loss=12.682952880859375, val_accuracy=0.8135120044667783
Epoch 77 lr=0.04669747052543716: loss=213.150148332119, train_accuracy=0.8060428849902534,val_loss=10.153243064880371, val_accuracy=0.8361250697934115
Epoch 78 lr=0.04669747052543716: loss=214.48268166184425, train_accuracy=0.8029970760233918,val_loss=12.072721481323242, val_accuracy=0.7797319932998324
Epoch 79 lr=0.04529654640967404: loss=208.5765389353037, train_accuracy=0.8089668615984406,val_loss=9.76221752166748, val_accuracy=0.8425460636515912
Epoch 80 lr=0.04529654640967404: loss=208.33843617141247, train_accuracy=0.8072002923976608,val_loss=11.921767234802246, val_accuracy=0.8151870463428252
Epoch 81 lr=0.04529654640967404: loss=207.4008400887251, train_accuracy=0.8115253411306043,val_loss=10.337849617004395, val_accuracy=0.8266331658291457
Epoch 82 lr=0.04393765001738382: loss=209.1800366640091, train_accuracy=0.8057992202729045,val_loss=10.002504348754883, val_accuracy=0.8366834170854272
Epoch 83 lr=0.04393765001738382: loss=207.76967076957226, train_accuracy=0.8084186159844055,val_loss=10.447531700134277, val_accuracy=0.8266331658291457
Epoch 84 lr=0.04393765001738382: loss=206.15629874169827, train_accuracy=0.8107943469785575,val_loss=9.012160301208496, val_accuracy=0.8456169737576773
Epoch 85 lr=0.042619520516862304: loss=203.99935978651047, train_accuracy=0.8145711500974658,val_loss=9.763075828552246, val_accuracy=0.8486878838637633
Epoch 86 lr=0.042619520516862304: loss=205.79851187765598, train_accuracy=0.8117690058479532,val_loss=10.871880531311035, val_accuracy=0.8249581239530989
Epoch 87 lr=0.042619520516862304: loss=205.59360168874264, train_accuracy=0.813291910331384,val_loss=9.628097534179688, val_accuracy=0.8405918481295366
Epoch 88 lr=0.04134093490135644: loss=202.86698864400387, train_accuracy=0.8143884015594542,val_loss=13.410161018371582, val_accuracy=0.7797319932998324
Epoch 89 lr=0.04134093490135644: loss=206.2361937314272, train_accuracy=0.8125609161793372,val_loss=13.832931518554688, val_accuracy=0.8020658849804578
Epoch 90 lr=0.04134093490135644: loss=203.72386510670185, train_accuracy=0.8166423001949318,val_loss=11.487939834594727, val_accuracy=0.8115577889447236
Epoch 91 lr=0.04010070685431574: loss=199.30498406291008, train_accuracy=0.8177997076023392,val_loss=9.92743968963623, val_accuracy=0.8355667225013959
Epoch 92 lr=0.04010070685431574: loss=201.08373457193375, train_accuracy=0.8160331384015594,val_loss=10.092642784118652, val_accuracy=0.8411501954215522
Epoch 93 lr=0.04010070685431574: loss=201.9139906913042, train_accuracy=0.8128654970760234,val_loss=10.220128059387207, val_accuracy=0.8405918481295366
Epoch 94 lr=0.03889768564868627: loss=195.65685398876667, train_accuracy=0.8212719298245614,val_loss=10.16463565826416, val_accuracy=0.8269123394751535
Epoch 95 lr=0.03889768564868627: loss=198.90633938461542, train_accuracy=0.8217592592592593,val_loss=10.220537185668945, val_accuracy=0.8500837520938024
Epoch 96 lr=0.03889768564868627: loss=200.97710292041302, train_accuracy=0.8198099415204678,val_loss=11.61050796508789, val_accuracy=0.8112786152987158
Epoch 97 lr=0.037730755079225686: loss=198.0506246984005, train_accuracy=0.8230384990253411,val_loss=9.241951942443848, val_accuracy=0.8489670575097711
Epoch 98 lr=0.037730755079225686: loss=197.75866666436195, train_accuracy=0.8221247563352827,val_loss=9.43185806274414, val_accuracy=0.84142936906756
Epoch 99 lr=0.037730755079225686: loss=197.05959244072437, train_accuracy=0.8199317738791423,val_loss=12.769691467285156, val_accuracy=0.8001116694584032
Epoch 100 lr=0.036598832426848915: loss=196.78319112956524, train_accuracy=0.8213937621832359,val_loss=10.1211519241333, val_accuracy=0.8232830820770519
Epoch 101 lr=0.036598832426848915: loss=198.12703071534634, train_accuracy=0.8217592592592593,val_loss=9.902429580688477, val_accuracy=0.8428252372975991
Epoch 102 lr=0.036598832426848915: loss=196.45140524208546, train_accuracy=0.8227339181286549,val_loss=10.04464054107666, val_accuracy=0.8249581239530989
Epoch 103 lr=0.03550086745404345: loss=193.82762849330902, train_accuracy=0.8260233918128655,val_loss=10.937536239624023, val_accuracy=0.830820770519263
Epoch 104 lr=0.03550086745404345: loss=194.71698989719152, train_accuracy=0.8212719298245614,val_loss=10.063936233520508, val_accuracy=0.8408710217755444
Epoch 105 lr=0.03550086745404345: loss=191.08886729180813, train_accuracy=0.8262670565302144,val_loss=10.053777694702148, val_accuracy=0.8470128419877163
Epoch 106 lr=0.034435841430422144: loss=192.3569951802492, train_accuracy=0.8260843079922028,val_loss=10.43091106414795, val_accuracy=0.8372417643774428
Epoch 107 lr=0.034435841430422144: loss=187.8030639141798, train_accuracy=0.8314449317738791,val_loss=11.044769287109375, val_accuracy=0.8188163037409268
Epoch 108 lr=0.034435841430422144: loss=191.50494728982449, train_accuracy=0.827485380116959,val_loss=9.19826602935791, val_accuracy=0.8542713567839196
Epoch 109 lr=0.03340276618750948: loss=188.92640382051468, train_accuracy=0.8274244639376218,val_loss=11.267983436584473, val_accuracy=0.8305415968732551
Epoch 110 lr=0.03340276618750948: loss=187.5719378143549, train_accuracy=0.8325414230019493,val_loss=10.269186019897461, val_accuracy=0.8291457286432161
Epoch 111 lr=0.03340276618750948: loss=188.24932815134525, train_accuracy=0.8342470760233918,val_loss=9.040048599243164, val_accuracy=0.850642099385818
Epoch 112 lr=0.032400683201884196: loss=192.32196371257305, train_accuracy=0.8257188109161794,val_loss=9.29985237121582, val_accuracy=0.8517587939698492
Epoch 113 lr=0.032400683201884196: loss=188.53214681893587, train_accuracy=0.8279727095516569,val_loss=8.50045108795166, val_accuracy=0.8623673925181463
Epoch 114 lr=0.032400683201884196: loss=188.72707875818014, train_accuracy=0.8291910331384016,val_loss=10.2153959274292, val_accuracy=0.8375209380234506
Epoch 115 lr=0.03142866270582767: loss=185.937745064497, train_accuracy=0.8314449317738791,val_loss=8.92861270904541, val_accuracy=0.8654383026242323
Epoch 116 lr=0.03142866270582767: loss=187.75227968394756, train_accuracy=0.8279727095516569,val_loss=9.269312858581543, val_accuracy=0.8567839195979899
Epoch 117 lr=0.03142866270582767: loss=185.42297361791134, train_accuracy=0.8340643274853801,val_loss=8.671561241149902, val_accuracy=0.8609715242881072
Epoch 118 lr=0.03048580282465284: loss=187.63373838365078, train_accuracy=0.8299829434697856,val_loss=15.921170234680176, val_accuracy=0.7479061976549414
Epoch 119 lr=0.03048580282465284: loss=182.18247397243977, train_accuracy=0.8362573099415205,val_loss=9.4056978225708, val_accuracy=0.8439419318816304
Epoch 120 lr=0.03048580282465284: loss=182.9219719171524, train_accuracy=0.8355263157894737,val_loss=9.102931022644043, val_accuracy=0.8595756560580681
Epoch 121 lr=0.029571228739913254: loss=183.74410936236382, train_accuracy=0.8367446393762183,val_loss=9.623226165771484, val_accuracy=0.8394751535455053
Epoch 122 lr=0.029571228739913254: loss=183.47160051018, train_accuracy=0.8371101364522417,val_loss=9.688546180725098, val_accuracy=0.8576214405360134
Epoch 123 lr=0.029571228739913254: loss=180.0653824955225, train_accuracy=0.8394858674463938,val_loss=9.55440902709961, val_accuracy=0.8470128419877163
Epoch 124 lr=0.028684091877715857: loss=181.5124081224203, train_accuracy=0.8368055555555556,val_loss=8.868967056274414, val_accuracy=0.8601340033500837
Epoch 125 lr=0.028684091877715857: loss=180.932432025671, train_accuracy=0.8410087719298246,val_loss=9.043035507202148, val_accuracy=0.8556672250139586
Epoch 126 lr=0.028684091877715857: loss=176.5229490995407, train_accuracy=0.8416179337231969,val_loss=8.438448905944824, val_accuracy=0.8640424343941931
Epoch 127 lr=0.02782356912138438: loss=176.49355748295784, train_accuracy=0.8397904483430799,val_loss=10.918176651000977, val_accuracy=0.8380792853154663
Epoch 128 lr=0.02782356912138438: loss=177.70739068835974, train_accuracy=0.8436281676413255,val_loss=8.756202697753906, val_accuracy=0.8640424343941931
Epoch 129 lr=0.02782356912138438: loss=178.53463783860207, train_accuracy=0.8426535087719298,val_loss=9.134627342224121, val_accuracy=0.8618090452261307
Epoch 130 lr=0.02698886204774285: loss=178.5333894789219, train_accuracy=0.842714424951267,val_loss=10.818536758422852, val_accuracy=0.8456169737576773
Epoch 131 lr=0.02698886204774285: loss=178.86955377459526, train_accuracy=0.8425316764132553,val_loss=9.200889587402344, val_accuracy=0.862925739810162
Epoch 132 lr=0.02698886204774285: loss=178.55842445790768, train_accuracy=0.8418615984405458,val_loss=9.701095581054688, val_accuracy=0.8486878838637633
Epoch 133 lr=0.026179196186310563: loss=176.86041563749313, train_accuracy=0.8436890838206628,val_loss=10.292530059814453, val_accuracy=0.8297040759352318
Epoch 134 lr=0.026179196186310563: loss=176.92138467729092, train_accuracy=0.8407651072124757,val_loss=9.741717338562012, val_accuracy=0.8601340033500837
Epoch 135 lr=0.026179196186310563: loss=175.1221896559, train_accuracy=0.8450901559454191,val_loss=8.994612693786621, val_accuracy=0.8632049134561698
Epoch 136 lr=0.025393820300721244: loss=173.47831558436155, train_accuracy=0.8454556530214425,val_loss=8.597942352294922, val_accuracy=0.8634840871021775
Epoch 137 lr=0.025393820300721244: loss=172.35142651200294, train_accuracy=0.8469785575048733,val_loss=11.83230209350586, val_accuracy=0.8241206030150754
Epoch 138 lr=0.025393820300721244: loss=173.49840161204338, train_accuracy=0.8471003898635477,val_loss=10.40599250793457, val_accuracy=0.844500279173646
Epoch 139 lr=0.024632005691699606: loss=172.62654062360525, train_accuracy=0.8448464912280702,val_loss=8.680288314819336, val_accuracy=0.8646007816862088
Epoch 140 lr=0.024632005691699606: loss=172.17731530964375, train_accuracy=0.844785575048733,val_loss=8.486163139343262, val_accuracy=0.871859296482412
Epoch 141 lr=0.024632005691699606: loss=175.36679810285568, train_accuracy=0.8451510721247564,val_loss=9.734031677246094, val_accuracy=0.8486878838637633
Epoch 142 lr=0.023893045520948616: loss=169.90481976419687, train_accuracy=0.8501461988304093,val_loss=10.903240203857422, val_accuracy=0.8439419318816304
Epoch 143 lr=0.023893045520948616: loss=170.43632789701223, train_accuracy=0.850328947368421,val_loss=12.51337718963623, val_accuracy=0.8107202680067002
Epoch 144 lr=0.023893045520948616: loss=171.19127820432186, train_accuracy=0.8481359649122807,val_loss=9.670745849609375, val_accuracy=0.8556672250139586
Epoch 145 lr=0.023176254155320156: loss=171.52977220714092, train_accuracy=0.8464912280701754,val_loss=9.828973770141602, val_accuracy=0.8542713567839196
Epoch 146 lr=0.023176254155320156: loss=170.5038284137845, train_accuracy=0.8483796296296297,val_loss=9.451746940612793, val_accuracy=0.8531546621998883
Epoch 147 lr=0.023176254155320156: loss=170.86561408638954, train_accuracy=0.8461866471734892,val_loss=8.959054946899414, val_accuracy=0.852037967615857
Epoch 148 lr=0.022480966530660552: loss=166.92268803715706, train_accuracy=0.8508771929824561,val_loss=9.049578666687012, val_accuracy=0.8581797878280291
Epoch 149 lr=0.022480966530660552: loss=166.78395557403564, train_accuracy=0.8509990253411306,val_loss=8.808862686157227, val_accuracy=0.8657174762702401
Epoch 150 lr=0.022480966530660552: loss=166.87094940245152, train_accuracy=0.8517909356725146,val_loss=9.941636085510254, val_accuracy=0.8481295365717476
Epoch 151 lr=0.021806537534740735: loss=165.7720372825861, train_accuracy=0.8550194931773879,val_loss=8.340213775634766, val_accuracy=0.8699050809603573
Epoch 152 lr=0.021806537534740735: loss=167.8723846077919, train_accuracy=0.8544103313840156,val_loss=10.293293952941895, val_accuracy=0.8498045784477946
Epoch 153 lr=0.021806537534740735: loss=168.3808635622263, train_accuracy=0.8505116959064327,val_loss=8.715961456298828, val_accuracy=0.8609715242881072
Epoch 154 lr=0.021152341408698514: loss=168.4830600619316, train_accuracy=0.8536184210526315,val_loss=8.350235939025879, val_accuracy=0.8668341708542714
Epoch 155 lr=0.021152341408698514: loss=167.98294241726398, train_accuracy=0.8524610136452242,val_loss=9.624846458435059, val_accuracy=0.8615298715801228
Epoch 156 lr=0.021152341408698514: loss=163.01099495589733, train_accuracy=0.8580653021442495,val_loss=8.487211227416992, val_accuracy=0.8693467336683417
Epoch 157 lr=0.02051777116643756: loss=164.1933912858367, train_accuracy=0.8553849902534113,val_loss=9.135629653930664, val_accuracy=0.8620882188721385
Epoch 158 lr=0.02051777116643756: loss=163.67098485678434, train_accuracy=0.8580653021442495,val_loss=11.22701644897461, val_accuracy=0.8291457286432161
Epoch 159 lr=0.02051777116643756: loss=163.93726958334446, train_accuracy=0.8549585769980507,val_loss=9.51713752746582, val_accuracy=0.8556672250139586
Epoch 160 lr=0.019902238031444433: loss=164.530909396708, train_accuracy=0.8565423976608187,val_loss=8.424764633178711, val_accuracy=0.8679508654383026
Epoch 161 lr=0.019902238031444433: loss=164.60799406468868, train_accuracy=0.8557504873294347,val_loss=8.67483139038086, val_accuracy=0.8679508654383026
Epoch 162 lr=0.019902238031444433: loss=163.1863973364234, train_accuracy=0.8534965886939572,val_loss=9.25399112701416, val_accuracy=0.8534338358458962
Epoch 163 lr=0.0193051708905011: loss=164.34156902879477, train_accuracy=0.8555068226120858,val_loss=8.748315811157227, val_accuracy=0.862925739810162
Epoch 164 lr=0.0193051708905011: loss=160.76750172674656, train_accuracy=0.8587962962962963,val_loss=10.337635040283203, val_accuracy=0.8492462311557789
Epoch 165 lr=0.0193051708905011: loss=159.46808015555143, train_accuracy=0.8605628654970761,val_loss=10.048245429992676, val_accuracy=0.855108877721943
Epoch 166 lr=0.018726015763786068: loss=159.8307152837515, train_accuracy=0.8633650097465887,val_loss=8.94129467010498, val_accuracy=0.8654383026242323
Epoch 167 lr=0.018726015763786068: loss=157.58029654622078, train_accuracy=0.8609283625730995,val_loss=9.80112075805664, val_accuracy=0.8531546621998883
Epoch 168 lr=0.018726015763786068: loss=160.36319795250893, train_accuracy=0.8585526315789473,val_loss=9.136527061462402, val_accuracy=0.862925739810162
Epoch 169 lr=0.018164235290872487: loss=158.31050039082766, train_accuracy=0.8626340155945419,val_loss=10.168980598449707, val_accuracy=0.8581797878280291
Epoch 170 lr=0.018164235290872487: loss=160.1946679726243, train_accuracy=0.8615375243664717,val_loss=8.13340950012207, val_accuracy=0.8807928531546622
Epoch 171 lr=0.018164235290872487: loss=157.99869887530804, train_accuracy=0.8583698830409356,val_loss=7.9670867919921875, val_accuracy=0.8746510329424902
Epoch 172 lr=0.017619308232146313: loss=158.4300995990634, train_accuracy=0.8607456140350878,val_loss=8.738280296325684, val_accuracy=0.8668341708542714
Epoch 173 lr=0.017619308232146313: loss=161.2016912996769, train_accuracy=0.8560550682261209,val_loss=8.323211669921875, val_accuracy=0.8699050809603573
Epoch 174 lr=0.017619308232146313: loss=158.00396967679262, train_accuracy=0.8612329434697856,val_loss=7.994865417480469, val_accuracy=0.8774427694025684
Epoch 175 lr=0.01709072898518192: loss=157.88504384458065, train_accuracy=0.8592836257309941,val_loss=8.98396110534668, val_accuracy=0.8640424343941931
Epoch 176 lr=0.01709072898518192: loss=157.83866816014051, train_accuracy=0.8629385964912281,val_loss=9.02831745147705, val_accuracy=0.8567839195979899
Epoch 177 lr=0.01709072898518192: loss=157.12526861578226, train_accuracy=0.8622076023391813,val_loss=8.442046165466309, val_accuracy=0.8646007816862088
Epoch 178 lr=0.016578007115626462: loss=157.5267677232623, train_accuracy=0.86135477582846,val_loss=8.676128387451172, val_accuracy=0.8620882188721385
Epoch 179 lr=0.016578007115626462: loss=158.07965629547834, train_accuracy=0.8619639376218323,val_loss=9.955692291259766, val_accuracy=0.852037967615857
Epoch 180 lr=0.016578007115626462: loss=154.84597404301167, train_accuracy=0.8642787524366472,val_loss=9.8200101852417, val_accuracy=0.8447794528196538
Epoch 181 lr=0.01608066690215767: loss=156.6734663322568, train_accuracy=0.862146686159844,val_loss=9.179052352905273, val_accuracy=0.8668341708542714
Epoch 182 lr=0.01608066690215767: loss=155.952443189919, train_accuracy=0.8623294346978557,val_loss=8.692744255065918, val_accuracy=0.8710217755443886
Epoch 183 lr=0.01608066690215767: loss=152.58769621700048, train_accuracy=0.866349902534113,val_loss=10.413159370422363, val_accuracy=0.8489670575097711
Epoch 184 lr=0.015598246895092939: loss=155.06443724781275, train_accuracy=0.8636695906432749,val_loss=8.278987884521484, val_accuracy=0.8763260748185371
Epoch 185 lr=0.015598246895092939: loss=154.43871743232012, train_accuracy=0.8662280701754386,val_loss=8.278236389160156, val_accuracy=0.870463428252373
Epoch 186 lr=0.015598246895092939: loss=154.23973950743675, train_accuracy=0.86817738791423,val_loss=8.34399127960205, val_accuracy=0.8626465661641541
Epoch 187 lr=0.01513029948824015: loss=154.36526516079903, train_accuracy=0.8645833333333334,val_loss=8.544571876525879, val_accuracy=0.8732551647124511
